,utc_date,utc_time,white,black,event,time_control,white_score,Username_x,Mode_x,UltraBullet_x,Bullet_x,Blitz_x,Rapid_x,Classical_x,Correspondence_x,Crazyhouse_x,Chess960_x,Antichess_x,Horde_x,Puzzles_x,Puzzle Storm_x,Puzzle Racer_x,Puzzle Streak_x,games_x,rated_x,wins_x,losses_x,draws_x,bookmarks_x,win_streak_x,lose_streak_x,King of the Hill_x,Three-check_x,Atomic_x,Racing Kings_x,imported games_x,playing_x,imported game_x,Username_y,Mode_y,UltraBullet_y,Bullet_y,Blitz_y,Rapid_y,Classical_y,Correspondence_y,Crazyhouse_y,Chess960_y,Antichess_y,Horde_y,Puzzles_y,Puzzle Storm_y,Puzzle Racer_y,Puzzle Streak_y,games_y,rated_y,wins_y,losses_y,draws_y,bookmarks_y,win_streak_y,lose_streak_y,King of the Hill_y,Three-check_y,Atomic_y,Racing Kings_y,imported games_y,playing_y,imported game_y
915,1,79,geokey888,lucioflavioapax,Blitz,180+2,0,geokey888,Blitz,0,1788,1950,2110,1830,0,0,0,0,0,0,0,0,0,15953,15920,7379,7553,1021,3,2,11,0.0,0.0,0.0,0.0,0.0,1.0,,lucioflavioapax,Blitz,0,1704,1916,2139,2149,0,0,0,0,0,2269,0,0,0,5601,5581,2784,2638,179,10,14,3,0.0,0.0,0.0,0.0,3.0,,
916,1,79,Nizarkn,alyssa1108,Blitz,180+2,0,Nizarkn,Blitz,0,974,1248,0,0,0,0,0,0,0,1512,0,0,0,753,753,370,361,22,0,10,5,0.0,0.0,0.0,0.0,0.0,,,alyssa1108,Blitz,0,1116,1381,1354,0,0,0,0,0,0,1705,23,33,21,451,386,250,179,22,6,3,7,0.0,0.0,1261.0,0.0,0.0,,
917,1,79,lazerboy12,DrewskiPuh,Blitz,120+2,1,lazerboy12,Blitz,0,1176,1253,1707,0,0,0,0,0,0,0,0,0,0,8437,8398,4093,4189,155,0,9,1,0.0,0.0,0.0,0.0,0.0,,,DrewskiPuh,Blitz,0,1205,1371,1894,0,0,0,0,0,0,1374,0,0,8,3700,3660,1434,2097,169,1,16,1,0.0,0.0,0.0,0.0,0.0,,
918,1,79,Ednelson,jackd54,Blitz,180+0,1,Ednelson,Blitz,0,1468,1494,1518,1214,0,0,0,0,0,1827,16,24,2,30136,30063,13119,15074,1943,17,2,14,0.0,0.0,0.0,0.0,0.0,,,jackd54,Blitz,0,1521,1574,1517,0,0,0,0,0,0,1453,0,0,0,524,471,278,225,21,0,7,0,0.0,0.0,0.0,0.0,0.0,,1.0
919,1,80,jc_loiola,Spawn963,Blitz,300+3,0,jc_loiola,Blitz,0,0,1598,1798,1913,0,0,0,0,0,1539,0,0,7,6835,6738,3053,3548,234,3,1,15,0.0,0.0,0.0,0.0,0.0,,,Spawn963,Blitz,0,1461,1548,1707,1622,0,0,0,0,0,1763,15,0,15,1861,1679,781,1020,60,0,2,10,0.0,0.0,0.0,0.0,0.0,,
920,1,80,Edisonpt,vacio,Blitz,300+0,0,Edisonpt,Blitz,0,1927,2053,2039,0,0,0,0,0,0,2148,31,33,37,8209,8181,4096,3719,394,3,2,9,0.0,0.0,0.0,0.0,0.0,,,vacio,Blitz,0,1581,2057,2080,0,0,1613,0,0,0,1956,18,0,37,15380,15085,7287,6949,1144,0,1,13,0.0,0.0,0.0,0.0,0.0,,
921,1,80,BL5cowboy59,Lord_Ulric,Blitz,300+0,1,BL5cowboy59,Blitz,0,0,1179,0,0,0,0,0,0,0,1333,0,0,0,3929,3929,1918,1907,104,0,1,11,0.0,0.0,0.0,0.0,0.0,,,Lord_Ulric,Blitz,0,1008,1134,1159,0,0,0,0,0,0,0,0,0,0,3244,3206,1552,1548,144,0,2,10,0.0,0.0,0.0,0.0,0.0,,
922,1,80,nyyanks,Shubiggirath94,Blitz,300+0,1,nyyanks,Blitz,0,0,1769,0,0,0,0,0,0,0,0,0,0,0,10460,10447,4922,5032,506,0,3,11,0.0,0.0,0.0,0.0,0.0,,,Shubiggirath94,Blitz,0,0,1735,0,0,0,0,0,0,0,2032,19,20,22,6833,6813,3279,3269,285,3,2,13,0.0,0.0,0.0,0.0,0.0,,
923,1,80,YuniHyuuga,Gen_Fris,Blitz,300+0,1,YuniHyuuga,Blitz,0,0,1487,1451,0,0,0,0,0,0,1395,0,0,0,3801,3698,1819,1830,152,0,6,4,0.0,0.0,0.0,0.0,0.0,,,Gen_Fris,Blitz,0,1418,1414,1516,0,0,0,0,0,0,1832,15,0,0,4544,4028,2352,2032,160,1,2,9,0.0,0.0,0.0,0.0,0.0,,
924,1,80,zeidkhalil,letonia3000,Blitz,300+0,1,zeidkhalil,Blitz,0,0,1574,0,0,0,0,0,0,0,0,0,0,0,1024,1024,493,491,40,0,13,1,0.0,0.0,0.0,0.0,0.0,,,letonia3000,Blitz,0,1388,1527,0,0,0,0,1281,0,0,1702,0,0,0,9634,9576,4647,4694,293,57,14,6,0.0,0.0,0.0,0.0,0.0,,
925,1,80,oetjoe_ucu,txomintxu,Blitz,300+0,1,oetjoe_ucu,Blitz,0,1913,1810,1276,0,0,1670,0,0,0,2006,0,0,20,958,944,491,416,51,0,4,0,0.0,0.0,0.0,0.0,0.0,,,txomintxu,Blitz,0,0,1882,0,0,0,0,0,0,0,0,0,0,0,6782,6695,3194,3136,452,1,10,2,0.0,0.0,0.0,0.0,0.0,,
926,1,80,paulstinks,Akshay99Chess,Blitz,300+0,1,paulstinks,Blitz,0,891,1107,1052,0,1166,0,0,0,0,1180,0,0,0,1719,1513,790,828,101,0,1,10,0.0,0.0,0.0,0.0,0.0,,,Akshay99Chess,Blitz,0,963,995,1092,0,0,0,0,0,0,1296,0,0,0,3327,3290,1586,1678,63,1,12,1,0.0,0.0,0.0,0.0,0.0,,
927,1,80,Oliosverrow63,clay7,Blitz,300+0,1,Oliosverrow63,Blitz,0,922,1561,1665,1625,0,0,0,0,0,1863,0,0,0,10957,10571,5205,5316,436,0,1,28,0.0,0.0,0.0,0.0,0.0,,,clay7,Blitz,0,1667,1611,1709,0,0,0,0,0,0,1510,0,0,0,1467,1454,708,707,52,0,9,1,0.0,0.0,0.0,0.0,0.0,,
928,1,80,Sitzfleisch,rusmawansaragih57,Blitz,300+0,1,Sitzfleisch,Blitz,0,1763,2037,1809,0,0,0,0,0,0,0,0,0,0,17337,17326,8326,8504,507,368,6,11,0.0,0.0,0.0,0.0,0.0,,,rusmawansaragih57,Blitz,0,0,2011,2213,0,0,0,0,0,0,1586,0,0,0,4238,3555,2131,1814,293,1,8,2,0.0,0.0,0.0,0.0,0.0,,
929,1,80,JABALINEGRO,Zaki-wise,Blitz,300+0,0,JABALINEGRO,Blitz,0,1775,1830,1938,1931,0,0,1461,0,0,2132,0,0,0,9153,9041,3993,4824,336,189,5,12,0.0,0.0,0.0,0.0,0.0,,,Zaki-wise,Blitz,1025,1556,1923,1840,1640,0,0,0,0,0,1901,0,0,0,27053,25757,13658,12858,537,10,12,2,0.0,1438.0,0.0,0.0,13.0,,
930,1,80,K0nsul0l,Richarding,Blitz,300+0,0,K0nsul0l,Blitz,0,1133,1290,1425,1359,0,0,0,0,0,1534,0,0,0,4804,4335,2223,2302,279,1,13,2,0.0,0.0,0.0,0.0,0.0,,,Richarding,Blitz,0,1044,1213,1564,1523,0,0,0,0,0,1567,0,0,0,2585,2527,1242,1258,85,21,10,1,0.0,0.0,0.0,0.0,0.0,,
931,1,80,BruNoams,ZoliHu75,Blitz,300+0,1,BruNoams,Blitz,0,1379,1581,1894,1906,0,0,1405,0,0,2165,25,40,19,1080,946,483,512,85,0,1,8,0.0,0.0,0.0,0.0,0.0,,,ZoliHu75,Blitz,0,1097,1616,1740,0,0,0,0,0,0,1645,0,0,0,11381,11332,5588,5490,303,6,10,2,0.0,0.0,0.0,0.0,0.0,1.0,
932,1,80,Fisch96,jcmags,Blitz,300+0,0,Fisch96,Blitz,0,0,1202,1525,0,0,0,0,0,0,0,0,0,0,217,217,107,105,5,0,5,1,0.0,0.0,0.0,0.0,0.0,,,jcmags,Blitz,0,0,1074,1348,0,0,0,0,0,0,1640,0,0,0,282,258,122,153,7,0,2,9,0.0,0.0,0.0,0.0,0.0,,
933,1,80,jackelfrink,Finos2,Blitz,300+0,0,jackelfrink,Blitz,0,0,1395,0,0,0,0,0,0,0,1595,16,17,16,3651,3641,1752,1771,128,4,2,11,0.0,0.0,0.0,0.0,0.0,,,Finos2,Blitz,0,1201,1442,1442,0,0,0,0,0,0,1622,7,21,16,7112,6422,3398,3522,192,5,2,12,0.0,0.0,0.0,0.0,0.0,,
934,1,110,George_the_noob,Rubinetti13,Blitz,300+3,0,George_the_noob,Blitz,0,1522,1549,1742,0,0,0,0,0,0,0,0,0,0,5267,4856,2658,2478,131,3,6,2,0.0,0.0,0.0,0.0,0.0,,,Rubinetti13,Blitz,0,0,1703,1912,0,0,0,0,0,0,0,0,0,0,837,815,407,406,24,0,2,6,0.0,0.0,0.0,0.0,0.0,,
