,utc_date,utc_time,white_score,UltraBullet_x,Bullet_x,Blitz_x,Rapid_x,Classical_x,Correspondence_x,Crazyhouse_x,Chess960_x,Antichess_x,Horde_x,Puzzles_x,Puzzle Storm_x,Puzzle Racer_x,Puzzle Streak_x,games_x,rated_x,wins_x,losses_x,draws_x,bookmarks_x,win_streak_x,lose_streak_x,King of the Hill_x,Three-check_x,Atomic_x,Racing Kings_x,imported games_x,UltraBullet_y,Bullet_y,Blitz_y,Rapid_y,Classical_y,Correspondence_y,Crazyhouse_y,Chess960_y,Antichess_y,Horde_y,Puzzles_y,Puzzle Storm_y,Puzzle Racer_y,Puzzle Streak_y,games_y,rated_y,wins_y,losses_y,draws_y,bookmarks_y,win_streak_y,lose_streak_y,King of the Hill_y,Three-check_y,Atomic_y,Racing Kings_y,imported games_y,fix_time,add_time,prop_x,prop_y,win2loss_x,win2loss_y,ind_greater_mean_x,ind_greater_mean_y
1673,1,146,0,1304,2305,2329,2095,0,0,0,1768,0,0,1761,0,0,0,8062,7952,5208,2538,316,9,5,10,0.0,0.0,0.0,0.0,0.0,0,2401,2386,0,0,0,0,0,0,0,2119,0,0,42,25161,25155,12293,11514,1354,2,4,13,0.0,0.0,0.0,0.0,0.0,180,0,0.6459935499875962,0.4885735861054807,17203,1.0676567656765676,1,1
1674,1,146,2,0,1430,1502,1919,0,0,0,0,0,0,1889,10,27,3,23344,23081,10996,11141,1207,8,1,13,0.0,0.0,0.0,0.0,0.0,0,1435,1487,1278,0,0,0,0,0,0,0,0,0,0,17199,17181,8413,8447,339,7,15,1,0.0,0.0,0.0,0.0,0.0,180,0,0.47104180945853324,0.48915634629920346,5900,0.995974902332189,0,0
1675,1,146,2,0,2063,2087,0,0,0,0,0,0,0,0,0,0,0,5198,5198,2498,2369,331,1,10,3,0.0,0.0,0.0,0.0,0.0,0,1877,2121,0,0,0,0,0,0,0,0,0,0,0,11853,11852,5679,5713,461,0,1,15,0.0,0.0,0.0,0.0,0.0,180,0,0.4805694497883801,0.4791192103264996,6654,0.9940486609487135,1,1
1676,1,146,2,0,1277,1378,1574,0,0,0,0,0,0,1786,0,0,0,24970,24916,16020,8242,708,5,13,1,0.0,0.0,0.0,0.0,0.0,0,1841,1665,1907,1900,0,0,0,0,0,2059,20,0,30,8377,8341,4162,3951,264,2,3,8,0.0,0.0,0.0,0.0,62.0,180,0,0.6415698838606327,0.4968365763399785,16575,1.0534042014679827,0,0
1677,1,146,2,0,2217,2238,0,0,0,0,0,0,0,2317,0,0,0,8842,8822,3547,4571,724,0,14,0,0.0,0.0,0.0,0.0,0.0,1804,2235,2261,2239,0,1750,1736,1865,1162,1652,2501,53,74,53,10410,9877,5353,4460,597,29,4,13,1994.0,1773.0,1459.0,1732.0,0.0,180,0,0.4011535851617281,0.5142170989433237,1055,1.2002242152466367,1,1
1678,1,146,1,0,845,1253,1184,1312,0,0,0,0,0,0,0,0,0,4409,3676,1947,2257,205,0,12,1,0.0,0.0,0.0,0.0,0.0,0,1150,1106,0,0,0,0,0,0,0,1039,0,0,0,1114,1102,476,556,82,0,14,4,0.0,0.0,0.0,1421.0,0.0,180,0,0.44159673395327737,0.4272890484739677,2574,0.8561151079136691,0,0
1679,1,146,2,0,0,1867,0,0,0,0,0,0,0,2320,0,0,0,2675,2646,1305,1232,138,2,9,3,0.0,0.0,0.0,0.0,0.0,0,1722,1862,1811,1775,0,0,0,0,0,1848,0,0,0,29941,29671,14169,14312,1460,1,1,22,0.0,0.0,1668.0,0.0,0.0,180,0,0.48785046728971965,0.4732306870178017,27025,0.9900083845723868,1,1
1680,1,146,0,1446,2222,2043,2125,1983,0,1810,1735,0,0,2023,0,0,0,13944,6094,7600,5798,546,0,2,8,1533.0,1801.0,1410.0,0.0,0.0,1401,1641,1950,1950,1886,1755,0,0,0,0,1915,0,0,0,44606,44518,21244,21729,1633,7,3,15,0.0,0.0,0.0,0.0,0.0,180,0,0.5450372920252439,0.4762587992646729,38424,0.9776795986929909,1,1
1681,1,146,0,0,1035,1321,1551,0,0,0,0,0,0,1857,0,0,0,746,406,344,362,40,2,2,7,0.0,0.0,0.0,0.0,0.0,0,1376,1383,1589,0,0,0,0,0,0,1915,0,0,0,4983,4615,2327,2501,155,0,1,15,0.0,0.0,0.0,0.0,0.0,180,0,0.46112600536193027,0.46698775837848683,4209,0.9304278288684527,0,0
1682,1,146,2,1601,1900,1800,1622,1544,1681,1493,1433,1020,0,1843,29,33,20,114688,112887,48422,65171,1095,2006,26,1,1418.0,1283.0,1265.0,0.0,48.0,0,0,1783,1953,1660,0,0,0,0,0,1833,0,0,0,4266,4182,2066,2052,148,0,2,11,0.0,0.0,0.0,0.0,0.0,180,0,0.42220633370535715,0.48429442100328174,108705,1.00682261208577,1,1
